,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
304,1,2,female,,0,0,12.35,Q,Second,woman,FALSE,E,Queenstown,yes,TRUE
305,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
306,1,1,male,0.92,1,2,151.55,S,First,child,FALSE,C,Southampton,yes,FALSE
307,1,1,female,,0,0,110.8833,C,First,woman,FALSE,,Cherbourg,yes,TRUE
308,1,1,female,17.00,1,0,108.9,C,First,woman,FALSE,C,Cherbourg,yes,FALSE
309,0,2,male,30.00,1,0,24,C,Second,man,TRUE,,Cherbourg,no,FALSE
310,1,1,female,30.00,0,0,56.9292,C,First,woman,FALSE,E,Cherbourg,yes,TRUE
311,1,1,female,24.00,0,0,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,TRUE
312,1,1,female,18.00,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
313,0,2,female,26.00,1,1,26,S,Second,woman,FALSE,,Southampton,no,FALSE
314,0,3,male,28.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
315,0,2,male,43.00,1,1,26.25,S,Second,man,TRUE,,Southampton,no,FALSE
316,1,3,female,26.00,0,0,7.8542,S,Third,woman,FALSE,,Southampton,yes,TRUE
317,1,2,female,24.00,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
318,0,2,male,54.00,0,0,14,S,Second,man,TRUE,,Southampton,no,TRUE
319,1,1,female,31.00,0,2,164.8667,S,First,woman,FALSE,C,Southampton,yes,FALSE
320,1,1,female,40.00,1,1,134.5,C,First,woman,FALSE,E,Cherbourg,yes,FALSE
321,0,3,male,22.00,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
322,0,3,male,27.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
323,1,2,female,30.00,0,0,12.35,Q,Second,woman,FALSE,,Queenstown,yes,TRUE
324,1,2,female,22.00,1,1,29,S,Second,woman,FALSE,,Southampton,yes,FALSE
325,0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE
326,1,1,female,36.00,0,0,135.6333,C,First,woman,FALSE,C,Cherbourg,yes,TRUE
327,0,3,male,61.00,0,0,6.2375,S,Third,man,TRUE,,Southampton,no,TRUE
328,1,2,female,36.00,0,0,13,S,Second,woman,FALSE,D,Southampton,yes,TRUE
329,1,3,female,31.00,1,1,20.525,S,Third,woman,FALSE,,Southampton,yes,FALSE
330,1,1,female,16.00,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
331,1,3,female,,2,0,23.25,Q,Third,woman,FALSE,,Queenstown,yes,FALSE
332,0,1,male,45.50,0,0,28.5,S,First,man,TRUE,C,Southampton,no,TRUE
333,0,1,male,38.00,0,1,153.4625,S,First,man,TRUE,C,Southampton,no,FALSE
334,0,3,male,16.00,2,0,18,S,Third,man,TRUE,,Southampton,no,FALSE
335,1,1,female,,1,0,133.65,S,First,woman,FALSE,,Southampton,yes,FALSE
336,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
337,0,1,male,29.00,1,0,66.6,S,First,man,TRUE,C,Southampton,no,FALSE
338,1,1,female,41.00,0,0,134.5,C,First,woman,FALSE,E,Cherbourg,yes,TRUE
339,1,3,male,45.00,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE
340,0,1,male,45.00,0,0,35.5,S,First,man,TRUE,,Southampton,no,TRUE
341,1,2,male,2.00,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE
342,1,1,female,24.00,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE
343,0,2,male,28.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
344,0,2,male,25.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
345,0,2,male,36.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
346,1,2,female,24.00,0,0,13,S,Second,woman,FALSE,F,Southampton,yes,TRUE
347,1,2,female,40.00,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE
348,1,3,female,,1,0,16.1,S,Third,woman,FALSE,,Southampton,yes,FALSE
349,1,3,male,3.00,1,1,15.9,S,Third,child,FALSE,,Southampton,yes,FALSE
350,0,3,male,42.00,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE
351,0,3,male,23.00,0,0,9.225,S,Third,man,TRUE,,Southampton,no,TRUE
352,0,1,male,,0,0,35,S,First,man,TRUE,C,Southampton,no,TRUE
353,0,3,male,15.00,1,1,7.2292,C,Third,child,FALSE,,Cherbourg,no,FALSE
354,0,3,male,25.00,1,0,17.8,S,Third,man,TRUE,,Southampton,no,FALSE
355,0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
356,0,3,male,28.00,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE
357,1,1,female,22.00,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE
358,0,2,female,38.00,0,0,13,S,Second,woman,FALSE,,Southampton,no,TRUE
359,1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
360,1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
361,0,3,male,40.00,1,4,27.9,S,Third,man,TRUE,,Southampton,no,FALSE
362,0,2,male,29.00,1,0,27.7208,C,Second,man,TRUE,,Cherbourg,no,FALSE
363,0,3,female,45.00,0,1,14.4542,C,Third,woman,FALSE,,Cherbourg,no,FALSE
364,0,3,male,35.00,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE
365,0,3,male,,1,0,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE
366,0,3,male,30.00,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
367,1,1,female,60.00,1,0,75.25,C,First,woman,FALSE,D,Cherbourg,yes,FALSE
368,1,3,female,,0,0,7.2292,C,Third,woman,FALSE,,Cherbourg,yes,TRUE
369,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
370,1,1,female,24.00,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE
371,1,1,male,25.00,1,0,55.4417,C,First,man,TRUE,E,Cherbourg,yes,FALSE
372,0,3,male,18.00,1,0,6.4958,S,Third,man,TRUE,,Southampton,no,FALSE
373,0,3,male,19.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
374,0,1,male,22.00,0,0,135.6333,C,First,man,TRUE,,Cherbourg,no,TRUE
375,0,3,female,3.00,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE
376,1,1,female,,1,0,82.1708,C,First,woman,FALSE,,Cherbourg,yes,FALSE
377,1,3,female,22.00,0,0,7.25,S,Third,woman,FALSE,,Southampton,yes,TRUE
378,0,1,male,27.00,0,2,211.5,C,First,man,TRUE,C,Cherbourg,no,FALSE
379,0,3,male,20.00,0,0,4.0125,C,Third,man,TRUE,,Cherbourg,no,TRUE
380,0,3,male,19.00,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE
381,1,1,female,42.00,0,0,227.525,C,First,woman,FALSE,,Cherbourg,yes,TRUE
382,1,3,female,1.00,0,2,15.7417,C,Third,child,FALSE,,Cherbourg,yes,FALSE
383,0,3,male,32.00,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE
384,1,1,female,35.00,1,0,52,S,First,woman,FALSE,,Southampton,yes,FALSE
385,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
386,0,2,male,18.00,0,0,73.5,S,Second,man,TRUE,,Southampton,no,TRUE
387,0,3,male,1.00,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE
388,1,2,female,36.00,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE
389,0,3,male,,0,0,7.7292,Q,Third,man,TRUE,,Queenstown,no,TRUE
390,1,2,female,17.00,0,0,12,C,Second,woman,FALSE,,Cherbourg,yes,TRUE
391,1,1,male,36.00,1,2,120,S,First,man,TRUE,B,Southampton,yes,FALSE
392,1,3,male,21.00,0,0,7.7958,S,Third,man,TRUE,,Southampton,yes,TRUE
393,0,3,male,28.00,2,0,7.925,S,Third,man,TRUE,,Southampton,no,FALSE
394,1,1,female,23.00,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE
395,1,3,female,24.00,0,2,16.7,S,Third,woman,FALSE,G,Southampton,yes,FALSE
396,0,3,male,22.00,0,0,7.7958,S,Third,man,TRUE,,Southampton,no,TRUE
397,0,3,female,31.00,0,0,7.8542,S,Third,woman,FALSE,,Southampton,no,TRUE
398,0,2,male,46.00,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE
399,0,2,male,23.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
400,1,2,female,28.00,0,0,12.65,S,Second,woman,FALSE,,Southampton,yes,TRUE
401,1,3,male,39.00,0,0,7.925,S,Third,man,TRUE,,Southampton,yes,TRUE
402,0,3,male,26.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
403,0,3,female,21.00,1,0,9.825,S,Third,woman,FALSE,,Southampton,no,FALSE
404,0,3,male,28.00,1,0,15.85,S,Third,man,TRUE,,Southampton,no,FALSE
405,0,3,female,20.00,0,0,8.6625,S,Third,woman,FALSE,,Southampton,no,TRUE
406,0,2,male,34.00,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE
407,0,3,male,51.00,0,0,7.75,S,Third,man,TRUE,,Southampton,no,TRUE
408,1,2,male,3.00,1,1,18.75,S,Second,child,FALSE,,Southampton,yes,FALSE
409,0,3,male,21.00,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE
410,0,3,female,,3,1,25.4667,S,Third,woman,FALSE,,Southampton,no,FALSE
411,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
412,0,3,male,,0,0,6.8583,Q,Third,man,TRUE,,Queenstown,no,TRUE
413,1,1,female,33.00,1,0,90,Q,First,woman,FALSE,C,Queenstown,yes,FALSE
414,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE
415,1,3,male,44.00,0,0,7.925,S,Third,man,TRUE,,Southampton,yes,TRUE
416,0,3,female,,0,0,8.05,S,Third,woman,FALSE,,Southampton,no,TRUE
417,1,2,female,34.00,1,1,32.5,S,Second,woman,FALSE,,Southampton,yes,FALSE
418,1,2,female,18.00,0,2,13,S,Second,woman,FALSE,,Southampton,yes,FALSE
419,0,2,male,30.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
420,0,3,female,10.00,0,2,24.15,S,Third,child,FALSE,,Southampton,no,FALSE
421,0,3,male,,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE
422,0,3,male,21.00,0,0,7.7333,Q,Third,man,TRUE,,Queenstown,no,TRUE
423,0,3,male,29.00,0,0,7.875,S,Third,man,TRUE,,Southampton,no,TRUE
424,0,3,female,28.00,1,1,14.4,S,Third,woman,FALSE,,Southampton,no,FALSE
425,0,3,male,18.00,1,1,20.2125,S,Third,man,TRUE,,Southampton,no,FALSE
426,0,3,male,,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
427,1,2,female,28.00,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
428,1,2,female,19.00,0,0,26,S,Second,woman,FALSE,,Southampton,yes,TRUE
429,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
430,1,3,male,32.00,0,0,8.05,S,Third,man,TRUE,E,Southampton,yes,TRUE
431,1,1,male,28.00,0,0,26.55,S,First,man,TRUE,C,Southampton,yes,TRUE
432,1,3,female,,1,0,16.1,S,Third,woman,FALSE,,Southampton,yes,FALSE
433,1,2,female,42.00,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
434,0,3,male,17.00,0,0,7.125,S,Third,man,TRUE,,Southampton,no,TRUE
435,0,1,male,50.00,1,0,55.9,S,First,man,TRUE,E,Southampton,no,FALSE
436,1,1,female,14.00,1,2,120,S,First,child,FALSE,B,Southampton,yes,FALSE
437,0,3,female,21.00,2,2,34.375,S,Third,woman,FALSE,,Southampton,no,FALSE
438,1,2,female,24.00,2,3,18.75,S,Second,woman,FALSE,,Southampton,yes,FALSE
439,0,1,male,64.00,1,4,263,S,First,man,TRUE,C,Southampton,no,FALSE
440,0,2,male,31.00,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE
441,1,2,female,45.00,1,1,26.25,S,Second,woman,FALSE,,Southampton,yes,FALSE
442,0,3,male,20.00,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE
443,0,3,male,25.00,1,0,7.775,S,Third,man,TRUE,,Southampton,no,FALSE
444,1,2,female,28.00,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE
445,1,3,male,,0,0,8.1125,S,Third,man,TRUE,,Southampton,yes,TRUE
446,1,1,male,4.00,0,2,81.8583,S,First,child,FALSE,A,Southampton,yes,FALSE
447,1,2,female,13.00,0,1,19.5,S,Second,child,FALSE,,Southampton,yes,FALSE
448,1,1,male,34.00,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE
449,1,3,female,5.00,2,1,19.2583,C,Third,child,FALSE,,Cherbourg,yes,FALSE
450,1,1,male,52.00,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE
451,0,2,male,36.00,1,2,27.75,S,Second,man,TRUE,,Southampton,no,FALSE
452,0,3,male,,1,0,19.9667,S,Third,man,TRUE,,Southampton,no,FALSE
453,0,1,male,30.00,0,0,27.75,C,First,man,TRUE,C,Cherbourg,no,TRUE
454,1,1,male,49.00,1,0,89.1042,C,First,man,TRUE,C,Cherbourg,yes,FALSE
455,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
456,1,3,male,29.00,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,yes,TRUE
457,0,1,male,65.00,0,0,26.55,S,First,man,TRUE,E,Southampton,no,TRUE
458,1,1,female,,1,0,51.8625,S,First,woman,FALSE,D,Southampton,yes,FALSE
459,1,2,female,50.00,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE
460,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
461,1,1,male,48.00,0,0,26.55,S,First,man,TRUE,E,Southampton,yes,TRUE
462,0,3,male,34.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
463,0,1,male,47.00,0,0,38.5,S,First,man,TRUE,E,Southampton,no,TRUE
464,0,2,male,48.00,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE
465,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
466,0,3,male,38.00,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE
467,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE
468,0,1,male,56.00,0,0,26.55,S,First,man,TRUE,,Southampton,no,TRUE
469,0,3,male,,0,0,7.725,Q,Third,man,TRUE,,Queenstown,no,TRUE
470,1,3,female,0.75,2,1,19.2583,C,Third,child,FALSE,,Cherbourg,yes,FALSE
471,0,3,male,,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
472,0,3,male,38.00,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE
473,1,2,female,33.00,1,2,27.75,S,Second,woman,FALSE,,Southampton,yes,FALSE
474,1,2,female,23.00,0,0,13.7917,C,Second,woman,FALSE,D,Cherbourg,yes,TRUE
475,0,3,female,22.00,0,0,9.8375,S,Third,woman,FALSE,,Southampton,no,TRUE
476,0,1,male,,0,0,52,S,First,man,TRUE,A,Southampton,no,TRUE
477,0,2,male,34.00,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE
478,0,3,male,29.00,1,0,7.0458,S,Third,man,TRUE,,Southampton,no,FALSE
479,0,3,male,22.00,0,0,7.5208,S,Third,man,TRUE,,Southampton,no,TRUE
480,1,3,female,2.00,0,1,12.2875,S,Third,child,FALSE,,Southampton,yes,FALSE
481,0,3,male,9.00,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE
482,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE
483,0,3,male,50.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
484,1,3,female,63.00,0,0,9.5875,S,Third,woman,FALSE,,Southampton,yes,TRUE
485,1,1,male,25.00,1,0,91.0792,C,First,man,TRUE,B,Cherbourg,yes,FALSE
486,0,3,female,,3,1,25.4667,S,Third,woman,FALSE,,Southampton,no,FALSE
487,1,1,female,35.00,1,0,90,S,First,woman,FALSE,C,Southampton,yes,FALSE
488,0,1,male,58.00,0,0,29.7,C,First,man,TRUE,B,Cherbourg,no,TRUE
489,0,3,male,30.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
490,1,3,male,9.00,1,1,15.9,S,Third,child,FALSE,,Southampton,yes,FALSE
491,0,3,male,,1,0,19.9667,S,Third,man,TRUE,,Southampton,no,FALSE
492,0,3,male,21.00,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
493,0,1,male,55.00,0,0,30.5,S,First,man,TRUE,C,Southampton,no,TRUE
494,0,1,male,71.00,0,0,49.5042,C,First,man,TRUE,,Cherbourg,no,TRUE
495,0,3,male,21.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
496,0,3,male,,0,0,14.4583,C,Third,man,TRUE,,Cherbourg,no,TRUE
497,1,1,female,54.00,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE
498,0,3,male,,0,0,15.1,S,Third,man,TRUE,,Southampton,no,TRUE
499,0,1,female,25.00,1,2,151.55,S,First,woman,FALSE,C,Southampton,no,FALSE
500,0,3,male,24.00,0,0,7.7958,S,Third,man,TRUE,,Southampton,no,TRUE
501,0,3,male,17.00,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE
502,0,3,female,21.00,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,no,TRUE
503,0,3,female,,0,0,7.6292,Q,Third,woman,FALSE,,Queenstown,no,TRUE
504,0,3,female,37.00,0,0,9.5875,S,Third,woman,FALSE,,Southampton,no,TRUE
505,1,1,female,16.00,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE
506,0,1,male,18.00,1,0,108.9,C,First,man,TRUE,C,Cherbourg,no,FALSE
507,1,2,female,33.00,0,2,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
508,1,1,male,,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE
509,0,3,male,28.00,0,0,22.525,S,Third,man,TRUE,,Southampton,no,TRUE
510,1,3,male,26.00,0,0,56.4958,S,Third,man,TRUE,,Southampton,yes,TRUE
511,1,3,male,29.00,0,0,7.75,Q,Third,man,TRUE,,Queenstown,yes,TRUE
512,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
513,1,1,male,36.00,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE
514,1,1,female,54.00,1,0,59.4,C,First,woman,FALSE,,Cherbourg,yes,FALSE
515,0,3,male,24.00,0,0,7.4958,S,Third,man,TRUE,,Southampton,no,TRUE
516,0,1,male,47.00,0,0,34.0208,S,First,man,TRUE,D,Southampton,no,TRUE
517,1,2,female,34.00,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE
518,0,3,male,,0,0,24.15,Q,Third,man,TRUE,,Queenstown,no,TRUE
519,1,2,female,36.00,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
520,0,3,male,32.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
521,1,1,female,30.00,0,0,93.5,S,First,woman,FALSE,B,Southampton,yes,TRUE
522,0,3,male,22.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
523,0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
524,1,1,female,44.00,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
525,0,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE
526,0,3,male,40.50,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
527,1,2,female,50.00,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE
528,0,1,male,,0,0,221.7792,S,First,man,TRUE,C,Southampton,no,TRUE
529,0,3,male,39.00,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE
530,0,2,male,23.00,2,1,11.5,S,Second,man,TRUE,,Southampton,no,FALSE
531,1,2,female,2.00,1,1,26,S,Second,child,FALSE,,Southampton,yes,FALSE
532,0,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE
533,0,3,male,17.00,1,1,7.2292,C,Third,man,TRUE,,Cherbourg,no,FALSE
534,1,3,female,,0,2,22.3583,C,Third,woman,FALSE,,Cherbourg,yes,FALSE
535,0,3,female,30.00,0,0,8.6625,S,Third,woman,FALSE,,Southampton,no,TRUE
536,1,2,female,7.00,0,2,26.25,S,Second,child,FALSE,,Southampton,yes,FALSE
537,0,1,male,45.00,0,0,26.55,S,First,man,TRUE,B,Southampton,no,TRUE
538,1,1,female,30.00,0,0,106.425,C,First,woman,FALSE,,Cherbourg,yes,TRUE
539,0,3,male,,0,0,14.5,S,Third,man,TRUE,,Southampton,no,TRUE
540,1,1,female,22.00,0,2,49.5,C,First,woman,FALSE,B,Cherbourg,yes,FALSE
541,1,1,female,36.00,0,2,71,S,First,woman,FALSE,B,Southampton,yes,FALSE
542,0,3,female,9.00,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE
543,0,3,female,11.00,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE
544,1,2,male,32.00,1,0,26,S,Second,man,TRUE,,Southampton,yes,FALSE
545,0,1,male,50.00,1,0,106.425,C,First,man,TRUE,C,Cherbourg,no,FALSE
546,0,1,male,64.00,0,0,26,S,First,man,TRUE,,Southampton,no,TRUE
547,1,2,female,19.00,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE
548,1,2,male,,0,0,13.8625,C,Second,man,TRUE,,Cherbourg,yes,TRUE
549,0,3,male,33.00,1,1,20.525,S,Third,man,TRUE,,Southampton,no,FALSE
550,1,2,male,8.00,1,1,36.75,S,Second,child,FALSE,,Southampton,yes,FALSE
551,1,1,male,17.00,0,2,110.8833,C,First,man,TRUE,C,Cherbourg,yes,FALSE
552,0,2,male,27.00,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE
553,0,3,male,,0,0,7.8292,Q,Third,man,TRUE,,Queenstown,no,TRUE
554,1,3,male,22.00,0,0,7.225,C,Third,man,TRUE,,Cherbourg,yes,TRUE
555,1,3,female,22.00,0,0,7.775,S,Third,woman,FALSE,,Southampton,yes,TRUE
556,0,1,male,62.00,0,0,26.55,S,First,man,TRUE,,Southampton,no,TRUE
557,1,1,female,48.00,1,0,39.6,C,First,woman,FALSE,A,Cherbourg,yes,FALSE
558,0,1,male,,0,0,227.525,C,First,man,TRUE,,Cherbourg,no,TRUE
559,1,1,female,39.00,1,1,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE
560,1,3,female,36.00,1,0,17.4,S,Third,woman,FALSE,,Southampton,yes,FALSE
561,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE
562,0,3,male,40.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
563,0,2,male,28.00,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE
564,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
565,0,3,female,,0,0,8.05,S,Third,woman,FALSE,,Southampton,no,TRUE
566,0,3,male,24.00,2,0,24.15,S,Third,man,TRUE,,Southampton,no,FALSE
567,0,3,male,19.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
568,0,3,female,29.00,0,4,21.075,S,Third,woman,FALSE,,Southampton,no,FALSE
569,0,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE
570,1,3,male,32.00,0,0,7.8542,S,Third,man,TRUE,,Southampton,yes,TRUE
571,1,2,male,62.00,0,0,10.5,S,Second,man,TRUE,,Southampton,yes,TRUE
572,1,1,female,53.00,2,0,51.4792,S,First,woman,FALSE,C,Southampton,yes,FALSE
573,1,1,male,36.00,0,0,26.3875,S,First,man,TRUE,E,Southampton,yes,TRUE
574,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE
575,0,3,male,16.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
576,0,3,male,19.00,0,0,14.5,S,Third,man,TRUE,,Southampton,no,TRUE
577,1,2,female,34.00,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE
578,1,1,female,39.00,1,0,55.9,S,First,woman,FALSE,E,Southampton,yes,FALSE
579,0,3,female,,1,0,14.4583,C,Third,woman,FALSE,,Cherbourg,no,FALSE
580,1,3,male,32.00,0,0,7.925,S,Third,man,TRUE,,Southampton,yes,TRUE
581,1,2,female,25.00,1,1,30,S,Second,woman,FALSE,,Southampton,yes,FALSE
582,1,1,female,39.00,1,1,110.8833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE
583,0,2,male,54.00,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE
584,0,1,male,36.00,0,0,40.125,C,First,man,TRUE,A,Cherbourg,no,TRUE
585,0,3,male,,0,0,8.7125,C,Third,man,TRUE,,Cherbourg,no,TRUE
586,1,1,female,18.00,0,2,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE
587,0,2,male,47.00,0,0,15,S,Second,man,TRUE,,Southampton,no,TRUE
588,1,1,male,60.00,1,1,79.2,C,First,man,TRUE,B,Cherbourg,yes,FALSE
589,0,3,male,22.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
590,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
591,0,3,male,35.00,0,0,7.125,S,Third,man,TRUE,,Southampton,no,TRUE
592,1,1,female,52.00,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE
593,0,3,male,47.00,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE
594,0,3,female,,0,2,7.75,Q,Third,woman,FALSE,,Queenstown,no,FALSE
595,0,2,male,37.00,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE
596,0,3,male,36.00,1,1,24.15,S,Third,man,TRUE,,Southampton,no,FALSE
597,1,2,female,,0,0,33,S,Second,woman,FALSE,,Southampton,yes,TRUE
598,0,3,male,49.00,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE
599,0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE
600,1,1,male,49.00,1,0,56.9292,C,First,man,TRUE,A,Cherbourg,yes,FALSE
601,1,2,female,24.00,2,1,27,S,Second,woman,FALSE,,Southampton,yes,FALSE
602,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
603,0,1,male,,0,0,42.4,S,First,man,TRUE,,Southampton,no,TRUE
604,0,3,male,44.00,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
605,1,1,male,35.00,0,0,26.55,C,First,man,TRUE,,Cherbourg,yes,TRUE
606,0,3,male,36.00,1,0,15.55,S,Third,man,TRUE,,Southampton,no,FALSE
607,0,3,male,30.00,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE
608,1,1,male,27.00,0,0,30.5,S,First,man,TRUE,,Southampton,yes,TRUE
609,1,2,female,22.00,1,2,41.5792,C,Second,woman,FALSE,,Cherbourg,yes,FALSE
